system:index,NDVI_mean,cloud_cover_land,col,date,image_id,lat,lon,lst,max_lat,max_lon,min_lat,min_lon,row,scene_id,tile_id,.geo
2_5,0.4800723353094923,4.36,2.0,2022-08-22,tile_r0_c2_2022-08-22,12.884998666121684,80.16249999999218,43.54267058253283,12.92,80.175,12.85,80.14999999999999,0.0,LC09_L2SP_142051_20220822_20230401_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
2_6,0.5266858968915654,16.48,2.0,2022-02-03,tile_r0_c2_2022-02-03,12.884998666121684,80.16249999999218,30.076733478781474,12.92,80.175,12.85,80.14999999999999,0.0,LC08_L2SP_142051_20220203_20220212_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
2_7,0.4902985193883702,18.06,2.0,2022-12-28,tile_r0_c2_2022-12-28,12.884998666121684,80.16249999999218,32.0903463298278,12.92,80.175,12.85,80.14999999999999,0.0,LC09_L2SP_142051_20221228_20230316_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
2_8,0.37695058503673357,19.23,2.0,2022-05-02,tile_r0_c2_2022-05-02,12.884998666121684,80.16249999999218,33.899922505485186,12.92,80.175,12.85,80.14999999999999,0.0,LC09_L2SP_142051_20220502_20230418_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
2_9,0.5044168526247262,19.39,2.0,2022-01-10,tile_r0_c2_2022-01-10,12.884998666121684,80.16249999999218,31.098249661717777,12.92,80.175,12.85,80.14999999999999,0.0,LC09_L2SP_142051_20220110_20230502_02_T1,tile_r0_c2,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.14999999999999,12.85],[80.175,12.85],[80.175,12.92],[80.14999999999999,12.92],[80.14999999999999,12.85]]]}"
3_0,0.3679817862293047,0.06,3.0,2022-03-31,tile_r0_c3_2022-03-31,12.88499866612279,80.18749999999957,41.39134737136784,12.92,80.2,12.85,80.175,0.0,LC09_L2SP_142051_20220331_20230423_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
3_1,0.5188518951153406,0.23,3.0,2022-10-25,tile_r0_c3_2022-10-25,12.88499866612279,80.18749999999957,37.099531870437424,12.92,80.2,12.85,80.175,0.0,LC09_L2SP_142051_20221025_20230324_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
3_2,0.3846289155580494,0.69,3.0,2022-05-26,tile_r0_c3_2022-05-26,12.88499866612279,80.18749999999957,43.362938672360194,12.92,80.2,12.85,80.175,0.0,LC08_L2SP_142051_20220526_20220602_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
3_3,0.4988961980120009,1.2,3.0,2022-09-23,tile_r0_c3_2022-09-23,12.88499866612279,80.18749999999957,42.89890020853808,12.92,80.2,12.85,80.175,0.0,LC09_L2SP_142051_20220923_20230328_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
3_4,0.3493855856764546,1.24,3.0,2022-06-03,tile_r0_c3_2022-06-03,12.88499866612279,80.18749999999957,52.97046424879218,12.92,80.2,12.85,80.175,0.0,LC09_L2SP_142051_20220603_20230414_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
3_5,0.48007747968191844,4.36,3.0,2022-08-22,tile_r0_c3_2022-08-22,12.88499866612279,80.18749999999957,43.455583521975896,12.92,80.2,12.85,80.175,0.0,LC09_L2SP_142051_20220822_20230401_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
3_6,0.4885717238841308,16.48,3.0,2022-02-03,tile_r0_c3_2022-02-03,12.88499866612279,80.18749999999957,30.56267313717046,12.92,80.2,12.85,80.175,0.0,LC08_L2SP_142051_20220203_20220212_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
3_7,0.44540166383899,18.06,3.0,2022-12-28,tile_r0_c3_2022-12-28,12.88499866612279,80.18749999999957,32.64874432625541,12.92,80.2,12.85,80.175,0.0,LC09_L2SP_142051_20221228_20230316_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
3_8,0.34633292767130863,19.23,3.0,2022-05-02,tile_r0_c3_2022-05-02,12.88499866612279,80.18749999999957,33.384578635509286,12.92,80.2,12.85,80.175,0.0,LC09_L2SP_142051_20220502_20230418_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
3_9,0.5159006755922939,19.39,3.0,2022-01-10,tile_r0_c3_2022-01-10,12.88499866612279,80.18749999999957,32.734409793075415,12.92,80.2,12.85,80.175,0.0,LC09_L2SP_142051_20220110_20230502_02_T1,tile_r0_c3,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.175,12.85],[80.2,12.85],[80.2,12.92],[80.175,12.92],[80.175,12.85]]]}"
4_0,0.37478716413933266,0.06,4.0,2022-03-31,tile_r0_c4_2022-03-31,12.884998666122724,80.21249999998936,41.82260560281309,12.92,80.225,12.85,80.19999999999999,0.0,LC09_L2SP_142051_20220331_20230423_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
4_1,0.5227083757806922,0.23,4.0,2022-10-25,tile_r0_c4_2022-10-25,12.884998666122724,80.21249999998936,36.56490869442418,12.92,80.225,12.85,80.19999999999999,0.0,LC09_L2SP_142051_20221025_20230324_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
4_2,0.3688361697393512,0.69,4.0,2022-05-26,tile_r0_c4_2022-05-26,12.884998666122724,80.21249999998936,44.28915878469352,12.92,80.225,12.85,80.19999999999999,0.0,LC08_L2SP_142051_20220526_20220602_02_T1,tile_r0_c4,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[80.19999999999999,12.85],[80.225,12.85],[80.225,12.92],[80.19999999999999,12.92],[80.19999999999999,12.85]]]}"
