lat,lon,NDVI_mean,cloud_cover_land,temperature_2m,relativehumidity_2m,windspeed_10m,scene_id_LC08_L2SP_142051_20220203_20220212_02_T1,scene_id_LC08_L2SP_142051_20220526_20220602_02_T1,scene_id_LC09_L2SP_142051_20220110_20230502_02_T1,scene_id_LC09_L2SP_142051_20220331_20230423_02_T1,scene_id_LC09_L2SP_142051_20220502_20230418_02_T1,scene_id_LC09_L2SP_142051_20220603_20230414_02_T1,scene_id_LC09_L2SP_142051_20220822_20230401_02_T1,scene_id_LC09_L2SP_142051_20220923_20230328_02_T1,scene_id_LC09_L2SP_142051_20221025_20230324_02_T1,scene_id_LC09_L2SP_142051_20221228_20230316_02_T1,image_id,label_class,lst
2.3590018827235326e-12,0.5555555555497449,0.6307239903869957,0.991722710812209,0.8032868525896419,0.6567567567567569,0.2771338250790306,False,False,False,False,True,False,False,False,False,False,tile_r0_c5_2022-05-02,1,34.031072163277926
2.3590018827235326e-12,0.5555555555497449,0.6722249249217042,1.0,0.1827689243027888,0.6040540540540542,0.08043554618897092,False,False,True,False,False,False,False,False,False,False,tile_r0_c5_2022-01-10,1,34.603869124956496
1.8118839761882555e-12,0.6666666666849892,0.5208631817333221,0.0,0.6718127490039842,0.567567567567568,0.47137337548296476,False,False,False,True,False,False,False,False,False,False,tile_r0_c6_2022-03-31,1,30.32602947104533
1.8118839761882555e-12,0.6666666666849892,0.5137942578681652,0.008794619762027936,0.2539840637450199,0.28648648648648667,0.057780119423955056,False,False,False,False,False,False,False,False,True,False,tile_r0_c6_2022-10-25,1,30.9168993717814
1.8118839761882555e-12,0.6666666666849892,0.5198250192241306,0.03259182617692705,0.7833665338645419,0.3378378378378377,0.2557077625570776,False,True,False,False,False,False,False,False,False,False,tile_r0_c6_2022-05-26,1,31.62685901091972
1.8118839761882555e-12,0.6666666666849892,0.5600327887390206,0.058975685463010866,0.64691235059761,0.3013513513513515,0.1492799438004918,False,False,False,False,False,False,False,True,False,False,tile_r0_c6_2022-09-23,1,33.387292999174896
1.8118839761882555e-12,0.6666666666849892,0.5348403688339519,0.06104500775995861,0.8874501992031871,0.21216216216216255,0.2996136283807517,False,False,False,False,False,True,False,False,False,False,tile_r0_c6_2022-06-03,2,36.75150851872925
1.8118839761882555e-12,0.6666666666849892,0.4237726303599835,0.2224521469218831,0.5527888446215137,0.5527027027027027,0.22936424306287317,False,False,False,False,False,False,True,False,False,False,tile_r0_c6_2022-08-22,1,34.9635791464071
1.8118839761882555e-12,0.6666666666849892,0.4213635208870544,0.8494568028970512,0.10009960159362574,0.4445945945945948,0.1726378644186864,True,False,False,False,False,False,False,False,False,False,tile_r0_c6_2022-02-03,0,27.72197711790051
1.8118839761882555e-12,0.6666666666849892,0.2450935459178235,0.9311950336264873,0.12649402390438258,0.9270270270270271,0.028977871443624903,False,False,False,False,False,False,False,False,False,True,tile_r0_c6_2022-12-28,0,29.753139136336205
1.8118839761882555e-12,0.6666666666849892,0.5873874919748261,1.0,0.1882470119521913,0.6040540540540542,0.08043554618897092,False,False,True,False,False,False,False,False,False,False,tile_r0_c6_2022-01-10,0,29.83380204782956
1.0928147275990341e-11,0.7777777777258166,0.5152182487157068,0.0,0.6718127490039842,0.567567567567568,0.47137337548296476,False,False,False,True,False,False,False,False,False,False,tile_r0_c7_2022-03-31,0,28.369706412990748
1.0928147275990341e-11,0.7777777777258166,0.602056047373941,0.008794619762027936,0.2539840637450199,0.28648648648648667,0.057780119423955056,False,False,False,False,False,False,False,False,True,False,tile_r0_c7_2022-10-25,0,29.89909578499105
1.0928147275990341e-11,0.7777777777258166,0.5330892122308635,0.03259182617692705,0.7833665338645419,0.3378378378378377,0.2557077625570776,False,True,False,False,False,False,False,False,False,False,tile_r0_c7_2022-05-26,0,29.27023451442109
1.0928147275990341e-11,0.7777777777258166,0.6460545553784591,0.058975685463010866,0.64691235059761,0.3013513513513515,0.1492799438004918,False,False,False,False,False,False,False,True,False,False,tile_r0_c7_2022-09-23,1,31.242765181625447
1.0928147275990341e-11,0.7777777777258166,0.5075438095850845,0.06104500775995861,0.8874501992031871,0.21216216216216255,0.2996136283807517,False,False,False,False,False,True,False,False,False,False,tile_r0_c7_2022-06-03,1,34.048256366659494
1.0928147275990341e-11,0.7777777777258166,0.3460809555710255,0.2224521469218831,0.5527888446215137,0.5527027027027027,0.22936424306287317,False,False,False,False,False,False,True,False,False,False,tile_r0_c7_2022-08-22,1,33.10531471260198
1.0928147275990341e-11,0.7777777777258166,0.7403159699632879,0.8494568028970512,0.10009960159362574,0.4445945945945948,0.1726378644186864,True,False,False,False,False,False,False,False,False,False,tile_r0_c7_2022-02-03,0,26.65042579364342
1.0928147275990341e-11,0.7777777777258166,0.5040962085658809,0.9311950336264873,0.12649402390438258,0.9270270270270271,0.028977871443624903,False,False,False,False,False,False,False,False,False,True,tile_r0_c7_2022-12-28,0,26.55039342791168
